HOLEID,X,Y,Z,FORMATION1,FORMATION2
35,2843991,29979478,1499.5,4,2
35,2843991,29979478,1524.5,2,4
35,2843991,29979478,1554.5,4,2
35,2843991,29979478,1694.5,2,1
36,2843991,29979548,1454.5,4,3
36,2843991,29979548,1459.5,3,4
36,2843991,29979548,1464.5,4,3
36,2843991,29979548,1484.5,3,4
36,2843991,29979548,1489.5,4,3
36,2843991,29979548,1669.5,3,1
37,2844058,29978988,1504.5,4,3
37,2844058,29978988,1649.5,3,1
38,2844058,29979058,1434.5,3,4
38,2844058,29979058,1514.5,4,3
38,2844058,29979058,1649.5,3,1
39,2844058,29979128,1669.5,3,1
40,2844058,29979198,1629.5,3,2
40,2844058,29979198,1669.5,2,1
41,2844058,29979268,1694.5,3,1
42,2844058,29979338,1504.5,3,2
42,2844058,29979338,1544.5,2,3
42,2844058,29979338,1554.5,3,2
42,2844058,29979338,1579.5,2,3
42,2844058,29979338,1684.5,3,2
42,2844058,29979338,1689.5,2,1
43,2844058,29979408,1554.5,3,2
43,2844058,29979408,1589.5,2,3
43,2844058,29979408,1594.5,3,2
43,2844058,29979408,1624.5,2,3
43,2844058,29979408,1659.5,3,2
43,2844058,29979408,1699.5,2,1
44,2844058,29979478,1554.5,3,2
44,2844058,29979478,1559.5,2,3
44,2844058,29979478,1569.5,3,2
44,2844058,29979478,1574.5,2,3
44,2844058,29979478,1639.5,3,2
44,2844058,29979478,1644.5,2,3
44,2844058,29979478,1659.5,3,2
44,2844058,29979478,1699.5,2,1
44,2844058,29979478,1709.5,1,2
45,2844058,29979548,1464.5,3,4
45,2844058,29979548,1469.5,4,3
45,2844058,29979548,1649.5,3,2
45,2844058,29979548,1694.5,2,1
46,2844125,29978988,1659.5,4,1
47,2844125,29979058,1619.5,3,4
47,2844125,29979058,1659.5,4,1
48,2844125,29979128,1669.5,3,1
49,2844125,29979198,1559.5,3,2
49,2844125,29979198,1604.5,2,3
49,2844125,29979198,1619.5,3,2
49,2844125,29979198,1694.5,2,1
50,2844125,29979268,1449.5,3,2
50,2844125,29979268,1454.5,2,3
50,2844125,29979268,1459.5,3,2
50,2844125,29979268,1464.5,2,3
50,2844125,29979268,1479.5,3,2
50,2844125,29979268,1484.5,2,3
50,2844125,29979268,1539.5,3,2
50,2844125,29979268,1549.5,2,3
50,2844125,29979268,1559.5,3,2
50,2844125,29979268,1649.5,2,3
50,2844125,29979268,1674.5,3,2
50,2844125,29979268,1694.5,2,1
51,2844125,29979338,1579.5,3,2
51,2844125,29979338,1589.5,2,3
51,2844125,29979338,1659.5,3,2
51,2844125,29979338,1664.5,2,3
51,2844125,29979338,1669.5,3,2
51,2844125,29979338,1674.5,2,1
51,2844125,29979338,1679.5,1,2
51,2844125,29979338,1684.5,2,1
52,2844125,29979408,1534.5,3,2
52,2844125,29979408,1539.5,2,3
52,2844125,29979408,1614.5,3,2
53,2844125,29979478,1514.5,3,2
53,2844125,29979478,1519.5,2,3
